store_id,item_id,method,coverage,avg_interval_width,mean_cost,cvar_90,cvar_95,service_level,total_cost
3,5,Normal_CVaR,0.9260273972602739,17.9912212320217,331.03968584754625,455.64308730897767,491.42629594625373,0.9260273972602739,120829.48533435438
3,5,SAA,,,336.6708661842098,449.4416765186422,477.49922803567006,0.9452054794520548,122884.86615723657
3,5,MCDropout_LSTM,0.8958904109589041,28.89731541909844,359.5331246711292,596.0897521393595,707.3611178938778,0.8575342465753425,131229.59050496217
4,1,Conformal_CVaR,0.9397260273972603,19.957626246824617,365.06044191735634,513.5524487006049,593.4017643632792,0.9342465753424658,133247.06129983507
4,1,Normal_CVaR,0.9260273972602739,19.090530121768072,361.8876194847692,519.359785523973,606.5829165714479,0.9232876712328767,132088.98111194075
4,1,SAA,,,375.7704442781464,504.8914565054087,568.2737904717817,0.9643835616438357,137156.21216152344
4,1,MCDropout_LSTM,0.9123287671232877,32.07828434674169,394.75839191628904,630.3097156277446,781.9274376520486,0.8657534246575342,144086.8130494455
4,2,Conformal_CVaR,0.9260273972602739,35.07907318741448,872.6877182701759,1205.6600223811338,1361.0843459941793,0.9232876712328767,318531.0171686142
4,2,Normal_CVaR,0.9205479452054794,32.94016383564565,865.2492876453942,1222.3242405886983,1397.895354606021,0.9205479452054794,315815.9899905689
4,2,SAA,,,886.7028236520671,1184.5830236968059,1310.5169709727352,0.9342465753424658,323646.5306330045
4,2,MCDropout_LSTM,0.9232876712328767,118.79200679037815,975.8642522463604,1545.7359987908,1856.4079482251193,0.8410958904109589,356190.45206992154
4,3,Conformal_CVaR,0.9424657534246575,26.877007486277307,574.6050329938681,792.612277483266,881.1098533039726,0.936986301369863,209730.83704276185
